,station_uid,line_uid,line_name,station_name,stationid,poiid,pointx,pointy,poitype,trans,color,ccode,line_start_city,line_terminal_city,line_tag,expect_open_time,line_open_status,is_updown,nearby_lines,trans_lines_detail,trans_lines_count,station_index,stations_count,platform_count_final,line_name_clean,trans_count_final,station_score,station_score_normalized,trans_lines_normalized,platform_normalized,station_score_normalized_final,trans_lines_normalized_final,platform_normalized_final,final_score
44,14383650586887063285,6059181244303640663,地铁4号线大兴线,义和庄,4204058156356856800,2199027905890,116.319079,39.712403,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,3,35,1.0,地铁4号线大兴线,1,20.0,0.11764705882352944,0.0,0.0,0.11764705882352944,0.0,0.0,0.02352941176470589
45,6379293244994172719,6059181244303640663,地铁4号线大兴线,黄村火车站,2199028257918,10003106205866022921,116.332697,39.722962,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,4,35,1.0,地铁4号线大兴线,1,21.0,0.17647058823529416,0.0,0.0,0.17647058823529416,0.0,0.0,0.03529411764705883
46,9721277057359777654,6059181244303640663,地铁4号线大兴线,黄村西大街,4350111088500774323,10003299687385802491,116.332482,39.731679,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,5,35,1.0,地铁4号线大兴线,1,22.0,0.23529411764705888,0.0,0.0,0.23529411764705888,0.0,0.0,0.04705882352941178
47,4590874547830107892,6059181244303640663,地铁4号线大兴线,清源路,2199028257919,10003524313706602611,116.3325,39.742719,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,6,35,1.0,地铁4号线大兴线,1,23.0,0.2941176470588236,0.0,0.0,0.2941176470588236,0.0,0.0,0.05882352941176472
48,10564534275112126039,6059181244303640663,地铁4号线大兴线,枣园,2199028257920,2199028258655,116.332228,39.753414,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,7,35,1.0,地铁4号线大兴线,1,24.0,0.3529411764705881,0.0,0.0,0.3529411764705881,0.0,0.0,0.07058823529411762
49,351008320797403726,6059181244303640663,地铁4号线大兴线,高米店南,2199028257921,10003869208376213611,116.331618,39.763506,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,8,35,1.0,地铁4号线大兴线,1,25.0,0.4117647058823528,0.0,0.0,0.4117647058823528,0.0,0.0,0.08235294117647057
50,4787126772834624744,6059181244303640663,地铁4号线大兴线,高米店北,2199028257922,2199028258654,116.330785,39.773538,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,9,35,1.0,地铁4号线大兴线,1,26.0,0.47058823529411753,0.0,0.0,0.47058823529411753,0.0,0.0,0.09411764705882351
51,14340884869916862215,6059181244303640663,地铁4号线大兴线,西红门,2199028257923,2199028258653,116.328713,39.789789,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,10,35,1.0,地铁4号线大兴线,1,27.0,0.5294117647058822,0.0,0.0,0.5294117647058822,0.0,0.0,0.10588235294117646
52,17290433045610481364,6059181244303640663,地铁4号线大兴线,新宫,2199028257924,2199028258652,116.365535,39.812574,2,1,#59BDC9,110000,110000,110000,1:1,,1,1,,['地铁19号线'],1,11,35,2.0,地铁4号线大兴线,2,28.0,0.588235294117647,0.3333333333333333,0.3333333333333333,0.588235294117647,0.3333333333333333,0.3333333333333333,0.38431372549019605
54,2924136996189118853,6059181244303640663,地铁4号线大兴线,公益西桥,8049540609343729193,2199027905965,116.370777,39.836147,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,12,35,1.0,地铁4号线大兴线,1,29.0,0.6470588235294117,0.0,0.0,0.6470588235294117,0.0,0.0,0.12941176470588234
55,12479139115724144549,6059181244303640663,地铁4号线大兴线,角门西,16465897536155736164,10003056618106232431,116.371142,39.845924,2,1,#59BDC9,110000,110000,110000,1:1,,1,1,,['地铁10号线外环'],1,13,35,1.0,地铁4号线大兴线,2,30.0,0.7058823529411764,0.3333333333333333,0.0,1.3877005347593583,0.3333333333333333,0.0,0.47754010695187166
